date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:25:24	67261/67261	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Aug%202021%2007:25:15%20GMT	https://www.greetingsisland.com/eCard/sighmk2uwuj0	C:/My%20Web%20Sites/pu%20bir/www.greetingsisland.com/eCard/sighmk2uwuj0.html	(from )
13:25:25	229/229	---MCZ	200	added ('OK')	text/plain	etag:W/%225394d0b33513d71:0%22	https://www.greetingsisland.com/robots.txt		(from )
13:25:26	4648/4648	---M-Z	200	added ('OK')	application/javascript	etag:%2285a52f0aaef7b183e08a8be23f939d7f%22	https://www.greetingsisland.com/cdn-cgi/apps/head/_dG2zdkxWEjd0YpkTJJbYqypmlc.js	C:/My%20Web%20Sites/pu%20bir/www.greetingsisland.com/cdn-cgi/apps/head/_dG2zdkxWEjd0YpkTJJbYqypmlc.js	(from https://www.greetingsisland.com/eCard/sighmk2uwuj0)
13:25:26	7442/7442	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2028%20Aug%202021%2007:25:17%20GMT	https://www.greetingsisland.com/bundles/gi.ads.js?v=WtHm8WK3zUcti2DzlTfKzT-pnLABj9ht7XttTXsVcLM1	C:/My%20Web%20Sites/pu%20bir/www.greetingsisland.com/bundles/gi.ads20d9.js	(from https://www.greetingsisland.com/eCard/sighmk2uwuj0)
13:25:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Aug%202021%2007:25:19%20GMT	http://www-greetingsisland-com.videoplayerhub.com/galleryloader.js	C:/My%20Web%20Sites/pu%20bir/www-greetingsisland-com.videoplayerhub.com/galleryloader.5.delayed	(from https://www.greetingsisland.com/eCard/sighmk2uwuj0)
13:25:36	355294/355294	---M-Z	200	added ('OK')	application/javascript	etag:%220fc61a7bf70d71:0%22	https://www.greetingsisland.com/Scripts/gi/hbnew.js	C:/My%20Web%20Sites/pu%20bir/www.greetingsisland.com/Scripts/gi/hbnew.js	(from https://www.greetingsisland.com/eCard/sighmk2uwuj0)
13:25:36	142704/142704	---MC-	200	added ('OK')	text/javascript	date:Sat,%2028%20Aug%202021%2007:25:17%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/pu%20bir/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://www.greetingsisland.com/eCard/sighmk2uwuj0)
13:25:36	1142/1142	---M-Z	200	added ('OK')	application/javascript	etag:%22d281f5ef4add283680ff41edc6dd28c4%22	https://s.pinimg.com/ct/core.js	C:/My%20Web%20Sites/pu%20bir/s.pinimg.com/ct/core.js	(from https://www.greetingsisland.com/eCard/sighmk2uwuj0)
13:25:37	98433/98433	---M--	200	added ('OK')	image/jpeg	etag:%2216aade5709ceabc3f19d4fe7010a6860b54ee5cd%22	https://online.images.greetingsisland.com/Ecards/d34b2ace-f5ed-4149-8468-37572bf9852c.jpg	C:/My%20Web%20Sites/pu%20bir/online.images.greetingsisland.com/Ecards/d34b2ace-f5ed-4149-8468-37572bf9852c.jpg	(from https://www.greetingsisland.com/eCard/sighmk2uwuj0)
13:25:39	185135/185135	---MCZ	200	added ('OK')	text/css	date:Sat,%2028%20Aug%202021%2007:25:30%20GMT	https://www.greetingsisland.com/Content/theme.min.css?v=JdKv7LotjAzppNstsWntytKlZ57uh_iIPnlOkRX5ItQ1	C:/My%20Web%20Sites/pu%20bir/www.greetingsisland.com/Content/theme.min6955.css	(from https://www.greetingsisland.com/eCard/sighmk2uwuj0)
13:25:41	497733/497733	---MCZ	200	added ('OK')	text/css	date:Sat,%2028%20Aug%202021%2007:25:31%20GMT	https://www.greetingsisland.com/Content/css/3dcards-portrait.css?v=eFekSbKRLCpl2x4wXXNzuzPhLbg88zeOPgP59HqfeoU1	C:/My%20Web%20Sites/pu%20bir/www.greetingsisland.com/Content/css/3dcards-portrait535e.css	(from https://www.greetingsisland.com/eCard/sighmk2uwuj0)
13:25:42	100879/100879	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2028%20Aug%202021%2007:25:33%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/pu%20bir/connect.facebook.net/en_US/fbevents.js	(from https://www.greetingsisland.com/eCard/sighmk2uwuj0)
13:25:42	16655/16655	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Aug%202021%2007:02:35%20GMT	https://static.greetingsisland.com/images/theme/topmenu/back_to_school_Invites.png?auto=format,compress	C:/My%20Web%20Sites/pu%20bir/static.greetingsisland.com/images/theme/topmenu/back_to_school_Invitesb447.png	(from https://www.greetingsisland.com/eCard/sighmk2uwuj0)
13:25:42	18538/18538	---M--	200	added ('OK')	image/png	date:Wed,%2025%20Aug%202021%2013:22:07%20GMT	https://static.greetingsisland.com/images/theme/topmenu/birthday_banner_cards.png?auto=format,compress	C:/My%20Web%20Sites/pu%20bir/static.greetingsisland.com/images/theme/topmenu/birthday_banner_cardsb447.png	(from https://www.greetingsisland.com/eCard/sighmk2uwuj0)
13:25:44	34914/34914	---M--	200	added ('OK')	image/gif	etag:%224561d57b2d67d71:0%22	https://www.greetingsisland.com/images/theme/now_loading_2.0.gif	C:/My%20Web%20Sites/pu%20bir/www.greetingsisland.com/images/theme/now_loading_2.0.gif	(from https://www.greetingsisland.com/eCard/sighmk2uwuj0)
